"TELFS2","UNEMPLOYRATE","TEAGE","PEEDUCA","PEMARITL","PTDTRACE","CHILD","TESEX","SEASON","WEEKDAY","GEREG"
"Employed",3.4,59,"Bachelor/Master's and above","Not Married","Black",1,"male","Winter",1,"South"
"Employed",4.3,54,"Bachelor/Master's and above","Married","Asian",0,"female","Winter",0,"West"
"Employed",3.4,37,"Bachelor/Master's and above","Not Married","Hispanic",1,"male","Winter",0,"South"
"Employed",2.3,39,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"Midwest"
"Employed",4,31,"High School Degree","Married","White",1,"female","Winter",1,"South"
"Employed",3.4,41,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"South"
"Employed",3.3,47,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"Midwest"
"Employed",3.8,43,"High School Degree","Married","Black",1,"female","Winter",0,"South"
"Employed",3.8,31,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"South"
"Employed",2.5,46,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"Northeast"
"Employed",3,50,"High School Degree","Not Married","Black",0,"female","Winter",1,"South"
"Employed",2.9,58,"Bachelor/Master's and above","Married","White",0,"male","Winter",1,"West"
"Employed",4.1,37,"High School Degree","Married","White",1,"female","Winter",1,"Northeast"
"Employed",4.5,47,"High School Degree","Not Married","Asian",0,"female","Winter",0,"West"
"Employed",4.4,58,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Midwest"
"Unemployed",4,51,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",0,"Northeast"
"Employed",2.9,37,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"West"
"Employed",3.6,32,"Less than High School","Not Married","White",1,"male","Winter",0,"Midwest"
"Employed",3.2,43,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Employed",3.7,27,"Bachelor/Master's and above","Not Married","Asian",0,"female","Winter",0,"Northeast"
"Employed",2.7,54,"High School Degree","Married","White",0,"female","Winter",1,"Midwest"
"Employed",4.3,46,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",0,"West"
"Employed",3.4,41,"High School Degree","Married","White",1,"male","Winter",0,"South"
"Employed",2.9,38,"High School Degree","Not Married","Hispanic",1,"female","Winter",1,"West"
"Not in the labor force",4.2,60,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"West"
"Unemployed",3.1,47,"High School Degree","Married","Hispanic",1,"male","Winter",1,"Northeast"
"Not in the labor force",4.1,44,"High School Degree","Married","White",0,"female","Winter",0,"Northeast"
"Employed",4.3,44,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"Midwest"
"Not in the labor force",5.1,35,"Bachelor/Master's and above","Married","Black",1,"female","Winter",1,"South"
"Employed",3.7,55,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter",0,"South"
"Employed",3.2,30,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Midwest"
"Not in the labor force",4,51,"High School Degree","Not Married","Black",0,"male","Winter",0,"South"
"Employed",3.8,38,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"South"
"Employed",3.1,58,"High School Degree","Not Married","White",0,"male","Winter",1,"Midwest"
"Employed",4.3,56,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"West"
"Employed",4.1,44,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Northeast"
"Employed",4.5,42,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"West"
"Employed",3.2,48,"Bachelor/Master's and above","Not Married","White",1,"male","Winter",0,"Midwest"
"Employed",4,41,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Employed",4.3,40,"Bachelor/Master's and above","Married","Asian",1,"female","Winter",0,"West"
"Employed",4.3,50,"High School Degree","Not Married","Hispanic",1,"female","Winter",1,"West"
"Employed",4.2,34,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.7,44,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Northeast"
"Employed",3.2,59,"High School Degree","Not Married","White",0,"male","Winter",0,"Midwest"
"Employed",3.2,45,"Bachelor/Master's and above","Not Married","Black",0,"male","Winter",0,"Midwest"
"Employed",2.7,46,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",0,"Midwest"
"Employed",3.7,49,"Bachelor/Master's and above","Married","Hispanic",1,"male","Winter",0,"South"
"Employed",3.2,47,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"Midwest"
"Employed",3.6,45,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Midwest"
"Employed",3.6,33,"Bachelor/Master's and above","Married","Asian",0,"male","Winter",0,"South"
"Not in the labor force",4.2,51,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"Midwest"
"Employed",3.1,41,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"Midwest"
"Employed",4.5,58,"Bachelor/Master's and above","Married","White",0,"female","Winter",0,"West"
"Employed",3.6,37,"Bachelor/Master's and above","Not Married","White",0,"male","Winter",1,"South"
"Employed",4,35,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"South"
"Employed",3.6,44,"High School Degree","Married","White",1,"male","Winter",1,"Midwest"
"Employed",4.5,32,"Bachelor/Master's and above","Married","White",1,"female","Winter",0,"West"
"Employed",4.2,50,"Bachelor/Master's and above","Married","White",0,"male","Winter",1,"South"
"Employed",3,37,"Bachelor/Master's and above","Married","White",1,"male","Winter",1,"South"
"Employed",6.1,52,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter",0,"West"
"Not in the labor force",4.9,40,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter",0,"West"
"Employed",4,40,"Bachelor/Master's and above","Married","Asian",1,"male","Winter",0,"Northeast"
"Employed",3.7,35,"High School Degree","Not Married","Hispanic",0,"male","Winter",1,"South"
"Employed",3.8,49,"Bachelor/Master's and above","Married","White",1,"female","Winter",1,"South"
"Employed",4.4,28,"Bachelor/Master's and above","Not Married","White",1,"female","Winter",1,"Midwest"
"Employed",4.2,59,"High School Degree","Married","White",0,"male","Winter",0,"South"
"Not in the labor force",3.8,54,"High School Degree","Married","Black",0,"female","Winter",1,"South"
"Employed",4,32,"High School Degree","Married","Asian",1,"female","Winter",0,"Northeast"
"Employed",4.9,40,"Bachelor/Master's and above","Married","White",1,"male","Winter",0,"West"
"Employed",4,54,"Bachelor/Master's and above","Not Married","White",0,"female","Winter",1,"Northeast"
"Employed",3.8,52,"High School Degree","Not Married","Hispanic",0,"male","Winter",0,"South"
"Employed",4.3,48,"Less than High School","Married","Hispanic",0,"male","Winter",1,"West"
"Employed",3.7,55,"High School Degree","Married","Hispanic",1,"female","Winter",0,"South"
