"GEREG","TELFS2","UNEMPLOYRATE","TEAGE","PEEDUCA","PEMARITL","PTDTRACE","CHILD","TESEX","SEASON","STATE","WEEKDAY"
1,"Employed",3.1,40,"Bachelor/Master's and above","Married","White",1,"female","Winter","Maine",0
1,"Not in the labor force",4.5,55,"Bachelor/Master's and above","Married","White",1,"female","Winter","New York",1
3,"Employed",4.7,37,"High School Degree","Not Married","White",0,"male","Winter","Louisiana",1
3,"Employed",4.2,44,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Georgia",1
2,"Employed",2.8,27,"High School Degree","Not Married","White",1,"male","Winter","Iowa",0
2,"Employed",4.5,58,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Michigan",1
3,"Employed",4,54,"Bachelor/Master's and above","Married","White",0,"female","Winter","Texas",0
2,"Employed",3.3,54,"Bachelor/Master's and above","Married","White",0,"male","Winter","Indiana",1
1,"Not in the labor force",3.6,52,"High School Degree","Married","Black",0,"male","Winter","Massachusetts",0
3,"Employed",3.9,53,"Bachelor/Master's and above","Married","Hispanic",0,"female","Winter","Florida",0
2,"Employed",3.4,36,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Missouri",0
3,"Not in the labor force",4.2,54,"Less than High School","Not Married","Black",0,"female","Winter","Georgia",1
3,"Employed",3.3,45,"Bachelor/Master's and above","Married","Asian",1,"male","Winter","Virginia",0
4,"Employed",5.2,37,"High School Degree","Not Married","Hispanic",1,"male","Winter","New Mexico",0
4,"Unemployed",4.8,27,"High School Degree","Not Married","Hispanic",0,"male","Winter","Arizona",1
3,"Employed",4,55,"Bachelor/Master's and above","Married","Hispanic",1,"male","Winter","Texas",1
3,"Employed",3.3,52,"Bachelor/Master's and above","Not Married","Black",0,"female","Winter","Virginia",1
3,"Employed",3.6,26,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Tennessee",0
3,"Employed",3.9,54,"Bachelor/Master's and above","Married","White",0,"male","Winter","South Carolina",0
3,"Employed",3.3,57,"Bachelor/Master's and above","Married","White",0,"female","Winter","Virginia",1
3,"Not in the labor force",4.3,39,"High School Degree","Not Married","White",0,"male","Winter","Kentucky",1
3,"Not in the labor force",3.9,57,"Bachelor/Master's and above","Married","White",0,"female","Winter","Alabama",1
1,"Unemployed",4.5,48,"Bachelor/Master's and above","Married","Asian",1,"male","Winter","New Jersey",0
4,"Employed",4.4,53,"Bachelor/Master's and above","Married","White",1,"male","Winter","California",1
3,"Not in the labor force",4.2,59,"Bachelor/Master's and above","Married","White",1,"female","Winter","Georgia",0
2,"Employed",2.9,42,"Bachelor/Master's and above","Married","White",1,"male","Winter","Nebraska",1
4,"Employed",3,31,"High School Degree","Not Married","White",0,"male","Winter","Colorado",0
4,"Not in the labor force",4.4,59,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","California",0
2,"Employed",4.5,35,"Bachelor/Master's and above","Married","White",1,"male","Winter","Ohio",0
1,"Employed",2.7,28,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Vermont",0
2,"Employed",3,35,"Bachelor/Master's and above","Married","White",0,"male","Winter","Minnesota",0
1,"Employed",4.5,49,"High School Degree","Married","White",0,"male","Winter","New York",1
2,"Employed",3.4,57,"High School Degree","Not Married","Hispanic",1,"female","Winter","Missouri",1
2,"Employed",2.7,31,"Bachelor/Master's and above","Married","White",1,"female","Winter","North Dakota",1
3,"Employed",4.7,51,"Less than High School","Not Married","Black",0,"female","Winter","Louisiana",1
3,"Employed",4,52,"High School Degree","Not Married","White",1,"female","Winter","Texas",1
4,"Employed",4.6,36,"Bachelor/Master's and above","Married","White",1,"female","Winter","Washington",0
2,"Employed",3.4,58,"Bachelor/Master's and above","Not Married","White",1,"female","Winter","Missouri",0
4,"Employed",4.1,37,"High School Degree","Married","White",0,"female","Winter","Oregon",1
3,"Not in the labor force",4,51,"High School Degree","Not Married","White",0,"female","Winter","Texas",0
4,"Employed",3.1,45,"High School Degree","Married","Hispanic",1,"female","Winter","Utah",0
3,"Employed",3.3,38,"High School Degree","Not Married","White",0,"male","Winter","Virginia",1
2,"Employed",3.4,36,"Bachelor/Master's and above","Not Married","White",1,"female","Winter","Missouri",0
4,"Unemployed",4.4,26,"High School Degree","Married","White",1,"female","Winter","California",0
1,"Employed",4.5,60,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","New York",0
4,"Not in the labor force",4.6,53,"High School Degree","Not Married","White",0,"male","Winter","Washington",0
3,"Employed",3.3,42,"Less than High School","Not Married","Black",1,"female","Winter","Virginia",1
3,"Employed",4,41,"Bachelor/Master's and above","Married","White",1,"male","Winter","Texas",0
1,"Employed",2.7,30,"Bachelor/Master's and above","Not Married","White",1,"female","Winter","Vermont",1
3,"Employed",4,58,"Bachelor/Master's and above","Married","White",1,"male","Winter","Texas",0
2,"Employed",3,45,"Bachelor/Master's and above","Married","White",1,"male","Winter","Minnesota",1
2,"Employed",4.5,44,"Bachelor/Master's and above","Married","White",1,"male","Winter","Ohio",1
1,"Employed",3.1,43,"High School Degree","Not Married","White",1,"female","Winter","Maine",0
3,"Employed",3.9,42,"Bachelor/Master's and above","Married","White",1,"female","Winter","Florida",1
2,"Not in the labor force",4.5,45,"High School Degree","Not Married","White",0,"female","Winter","Illinois",0
4,"Employed",3.1,43,"Bachelor/Master's and above","Not Married","White",1,"female","Winter","Utah",1
2,"Employed",3.3,41,"High School Degree","Married","White",1,"male","Winter","Indiana",1
4,"Employed",4.7,25,"Bachelor/Master's and above","Not Married","Hispanic",0,"male","Winter","Nevada",1
1,"Employed",3.6,43,"Bachelor/Master's and above","Married","White",1,"female","Winter","Massachusetts",0
2,"Employed",3.3,50,"High School Degree","Married","White",0,"female","Winter","Indiana",1
4,"Employed",4.8,37,"Bachelor/Master's and above","Not Married","White",0,"male","Winter","Arizona",1
3,"Employed",4.3,48,"Bachelor/Master's and above","Married","White",1,"male","Winter","Kentucky",1
3,"Employed",4.1,26,"High School Degree","Not Married","Asian",1,"male","Winter","Delaware",0
2,"Employed",3.4,39,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Missouri",0
2,"Employed",4.5,58,"High School Degree","Married","White",0,"female","Winter","Michigan",0
4,"Employed",3.1,48,"Bachelor/Master's and above","Not Married","White",1,"female","Winter","Utah",1
3,"Employed",4,44,"Bachelor/Master's and above","Married","White",1,"male","Winter","Texas",0
1,"Unemployed",3.6,41,"Bachelor/Master's and above","Not Married","Asian",0,"male","Winter","Massachusetts",1
3,"Employed",4,38,"Bachelor/Master's and above","Married","Asian",1,"male","Winter","Texas",1
3,"Employed",3.9,59,"Bachelor/Master's and above","Married","White",0,"female","Winter","Florida",1
4,"Not in the labor force",4.1,59,"Bachelor/Master's and above","Not Married","White",0,"male","Winter","Oregon",0
4,"Not in the labor force",4.6,32,"High School Degree","Married","White",1,"female","Winter","Washington",0
2,"Employed",4.5,28,"Bachelor/Master's and above","Married","White",1,"female","Winter","Illinois",1
1,"Employed",4.6,48,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Pennsylvania",0
4,"Employed",3.1,54,"High School Degree","Not Married","White",0,"female","Winter","Utah",1
1,"Not in the labor force",3.6,35,"Bachelor/Master's and above","Married","White",1,"female","Winter","Massachusetts",1
1,"Employed",4.5,34,"Bachelor/Master's and above","Married","Hispanic",0,"male","Winter","New York",0
4,"Not in the labor force",4.4,60,"Bachelor/Master's and above","Married","White",0,"female","Winter","California",0
3,"Unemployed",3.7,54,"High School Degree","Married","White",0,"female","Winter","Arkansas",0
2,"Employed",4.5,26,"Bachelor/Master's and above","Not Married","Hispanic",0,"male","Winter","Illinois",0
3,"Employed",3.9,48,"Bachelor/Master's and above","Married","Hispanic",0,"male","Winter","Florida",0
1,"Employed",4.5,36,"Bachelor/Master's and above","Married","White",0,"male","Winter","New York",0
4,"Not in the labor force",4,56,"High School Degree","Not Married","White",0,"male","Winter","Wyoming",0
3,"Employed",4,57,"Bachelor/Master's and above","Married","White",1,"male","Winter","Texas",1
4,"Employed",3.8,34,"Bachelor/Master's and above","Married","White",1,"female","Winter","Montana",1
3,"Employed",4.2,37,"Bachelor/Master's and above","Married","White",1,"male","Winter","North Carolina",0
1,"Not in the labor force",4.6,44,"High School Degree","Not Married","Black",1,"female","Winter","Pennsylvania",0
4,"Employed",4.7,28,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Nevada",0
2,"Employed",3,37,"High School Degree","Not Married","White",0,"male","Winter","Wisconsin",0
4,"Employed",3,42,"Bachelor/Master's and above","Not Married","White",1,"female","Winter","Idaho",1
3,"Employed",4.9,40,"High School Degree","Not Married","Black",0,"female","Winter","Mississippi",1
2,"Employed",3.3,47,"High School Degree","Married","White",0,"female","Winter","Indiana",0
3,"Not in the labor force",3.3,53,"Bachelor/Master's and above","Married","White",0,"female","Winter","Virginia",0
2,"Employed",3.4,53,"Bachelor/Master's and above","Married","Black",0,"female","Winter","Missouri",1
4,"Employed",3,43,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter","Colorado",0
3,"Employed",3.9,29,"Bachelor/Master's and above","Not Married","Black",0,"female","Winter","Alabama",1
4,"Not in the labor force",4.4,58,"Less than High School","Not Married","Hispanic",0,"male","Winter","California",0
3,"Employed",4.1,48,"High School Degree","Not Married","White",0,"male","Winter","Delaware",0
2,"Employed",3.4,54,"High School Degree","Married","White",0,"female","Winter","Kansas",0
3,"Employed",4.2,60,"Bachelor/Master's and above","Not Married","Black",0,"female","Winter","Maryland",0
2,"Not in the labor force",4.5,55,"High School Degree","Not Married","Black",0,"female","Winter","Ohio",0
2,"Employed",3,41,"Bachelor/Master's and above","Not Married","White",1,"female","Winter","Wisconsin",1
1,"Employed",4.6,37,"High School Degree","Not Married","Black",1,"female","Winter","Pennsylvania",0
3,"Employed",3.7,45,"High School Degree","Married","White",0,"female","Winter","Arkansas",1
1,"Not in the labor force",4.6,48,"Bachelor/Master's and above","Married","White",1,"female","Winter","Pennsylvania",1
3,"Employed",3.9,49,"High School Degree","Not Married","White",0,"male","Winter","Florida",1
3,"Employed",4.2,52,"Bachelor/Master's and above","Married","White",0,"female","Winter","Maryland",0
4,"Employed",4.8,43,"High School Degree","Married","White",1,"female","Winter","Arizona",1
1,"Employed",4.5,26,"Bachelor/Master's and above","Not Married","White",0,"male","Winter","New York",0
3,"Employed",3.3,60,"Bachelor/Master's and above","Married","White",0,"female","Winter","Virginia",1
4,"Employed",4.4,57,"Bachelor/Master's and above","Not Married","Asian",0,"female","Winter","California",0
4,"Employed",4.8,30,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter","Arizona",0
3,"Unemployed",3.9,34,"Bachelor/Master's and above","Married","Hispanic",1,"male","Winter","Florida",1
4,"Employed",4.4,57,"Less than High School","Married","Hispanic",0,"male","Winter","California",1
4,"Employed",4.1,35,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Oregon",0
3,"Not in the labor force",4.2,31,"Less than High School","Married","Hispanic",1,"female","Winter","Maryland",0
3,"Employed",4.3,34,"Bachelor/Master's and above","Married","White",1,"male","Winter","Kentucky",0
3,"Employed",4,26,"Less than High School","Married","Hispanic",1,"male","Winter","Texas",0
3,"Employed",3.6,27,"High School Degree","Not Married","White",0,"male","Winter","Tennessee",0
3,"Employed",3.3,27,"Bachelor/Master's and above","Married","Asian",0,"female","Winter","Virginia",0
2,"Employed",4.5,40,"High School Degree","Married","White",1,"female","Winter","Michigan",1
1,"Employed",4.6,49,"High School Degree","Not Married","Black",1,"male","Winter","Pennsylvania",0
4,"Employed",4.6,53,"High School Degree","Not Married","White",0,"female","Winter","Washington",0
2,"Employed",3.4,43,"Bachelor/Master's and above","Married","White",1,"male","Winter","Missouri",1
3,"Employed",4.7,32,"Bachelor/Master's and above","Not Married","White",0,"male","Winter","Louisiana",1
2,"Employed",4.5,32,"Bachelor/Master's and above","Not Married","Hispanic",1,"male","Winter","Illinois",0
3,"Employed",3.9,37,"Bachelor/Master's and above","Married","Black",1,"female","Winter","Florida",0
4,"Employed",4.4,33,"Bachelor/Master's and above","Married","White",1,"female","Winter","California",0
3,"Employed",3.3,27,"Less than High School","Not Married","Black",1,"female","Winter","Virginia",0
2,"Employed",3.4,29,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Kansas",0
3,"Employed",4.2,44,"Bachelor/Master's and above","Married","White",1,"male","Winter","Maryland",0
2,"Not in the labor force",4.5,55,"High School Degree","Not Married","White",0,"male","Winter","Ohio",0
2,"Employed",3.3,50,"Bachelor/Master's and above","Married","White",0,"female","Winter","Indiana",0
2,"Employed",4.5,41,"High School Degree","Married","White",1,"female","Winter","Illinois",1
1,"Employed",4.5,60,"Bachelor/Master's and above","Not Married","Black",0,"female","Winter","New York",0
4,"Employed",3.1,41,"Bachelor/Master's and above","Married","White",1,"male","Winter","Utah",0
1,"Employed",4.5,31,"Bachelor/Master's and above","Not Married","White",0,"male","Winter","New York",0
2,"Employed",4.5,53,"High School Degree","Married","White",0,"female","Winter","Ohio",0
4,"Employed",4.4,39,"Bachelor/Master's and above","Married","Asian",1,"male","Winter","California",1
1,"Employed",4.6,26,"Bachelor/Master's and above","Married","White",0,"female","Winter","Pennsylvania",1
2,"Employed",2.8,29,"Bachelor/Master's and above","Not Married","White",1,"male","Winter","Iowa",0
1,"Employed",4.5,43,"High School Degree","Married","Asian",1,"female","Winter","New Jersey",0
1,"Employed",4.6,53,"High School Degree","Married","White",0,"male","Winter","Pennsylvania",1
4,"Employed",3.1,45,"High School Degree","Married","White",1,"female","Winter","Utah",1
2,"Employed",4.5,60,"Less than High School","Married","Hispanic",1,"male","Winter","Ohio",0
3,"Employed",3.6,32,"Less than High School","Not Married","Hispanic",0,"male","Winter","Tennessee",0
3,"Employed",5.8,50,"High School Degree","Not Married","Black",0,"female","Winter","District of Columbia",1
1,"Employed",4.5,31,"Bachelor/Master's and above","Not Married","Hispanic",0,"male","Winter","New York",0
2,"Employed",4.5,49,"Bachelor/Master's and above","Married","White",1,"female","Winter","Michigan",0
1,"Employed",4.6,35,"Bachelor/Master's and above","Married","White",1,"female","Winter","Pennsylvania",0
1,"Employed",4.5,53,"High School Degree","Married","Hispanic",0,"male","Winter","New York",0
3,"Unemployed",3.9,43,"Bachelor/Master's and above","Married","White",1,"female","Winter","Florida",0
4,"Not in the labor force",4.7,50,"High School Degree","Not Married","Black",0,"female","Winter","Nevada",0
2,"Employed",4.5,42,"Bachelor/Master's and above","Married","White",1,"female","Winter","Ohio",0
3,"Employed",3.6,47,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Tennessee",1
3,"Employed",3.9,48,"Bachelor/Master's and above","Married","Hispanic",1,"male","Winter","Florida",1
2,"Employed",4.5,48,"High School Degree","Married","White",1,"female","Winter","Illinois",0
3,"Employed",3.7,56,"Bachelor/Master's and above","Married","White",0,"male","Winter","Arkansas",0
4,"Employed",4.8,36,"High School Degree","Married","Hispanic",1,"male","Winter","Arizona",0
3,"Employed",4,46,"Bachelor/Master's and above","Not Married","White",1,"male","Winter","Texas",0
2,"Not in the labor force",3.3,48,"Less than High School","Married","White",0,"male","Winter","Indiana",1
3,"Unemployed",4.2,29,"High School Degree","Not Married","White",1,"female","Winter","Maryland",1
3,"Employed",4.2,42,"Bachelor/Master's and above","Married","Hispanic",0,"female","Winter","Georgia",0
2,"Employed",4.5,26,"Bachelor/Master's and above","Married","White",0,"male","Winter","Ohio",0
4,"Employed",4.4,49,"Bachelor/Master's and above","Married","White",1,"female","Winter","California",0
3,"Employed",3.9,26,"Less than High School","Not Married","Black",1,"female","Winter","South Carolina",1
1,"Not in the labor force",4.5,30,"Bachelor/Master's and above","Married","White",1,"female","Winter","New York",1
3,"Not in the labor force",3.6,43,"High School Degree","Married","Black",1,"female","Winter","Tennessee",1
4,"Employed",4.6,46,"Bachelor/Master's and above","Married","White",1,"female","Winter","Washington",0
2,"Employed",3,36,"Bachelor/Master's and above","Married","White",1,"female","Winter","Minnesota",1
4,"Employed",4.1,35,"Bachelor/Master's and above","Married","White",1,"female","Winter","Oregon",0
3,"Employed",3.6,58,"Bachelor/Master's and above","Married","White",0,"male","Winter","Tennessee",1
4,"Employed",4.7,49,"Bachelor/Master's and above","Married","Hispanic",0,"male","Winter","Nevada",0
2,"Employed",4.5,46,"Bachelor/Master's and above","Married","White",1,"male","Winter","Ohio",0
4,"Employed",4.4,38,"Bachelor/Master's and above","Married","Asian",1,"female","Winter","California",0
1,"Employed",4.6,41,"Bachelor/Master's and above","Married","Black",0,"male","Winter","Pennsylvania",0
3,"Employed",4,32,"High School Degree","Married","Hispanic",1,"female","Winter","Texas",0
2,"Employed",4.5,41,"Bachelor/Master's and above","Married","White",0,"male","Winter","Michigan",1
3,"Employed",4.2,42,"Less than High School","Married","Hispanic",1,"male","Winter","North Carolina",0
1,"Employed",3.1,58,"Bachelor/Master's and above","Married","White",0,"female","Winter","Maine",0
2,"Employed",3,50,"Bachelor/Master's and above","Married","White",1,"female","Winter","Wisconsin",0
4,"Employed",4.4,46,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter","California",0
4,"Employed",3,41,"Bachelor/Master's and above","Married","White",1,"female","Winter","Colorado",0
2,"Employed",4.5,48,"High School Degree","Not Married","White",1,"male","Winter","Michigan",0
4,"Employed",3,55,"High School Degree","Not Married","White",0,"female","Winter","Colorado",1
4,"Employed",4.4,30,"High School Degree","Married","White",0,"female","Winter","California",0
3,"Employed",4.2,36,"High School Degree","Not Married","Black",1,"female","Winter","Maryland",1
1,"Employed",4.6,35,"Bachelor/Master's and above","Married","White",1,"male","Winter","Pennsylvania",0
3,"Employed",3.9,55,"High School Degree","Not Married","White",0,"female","Winter","Oklahoma",0
4,"Employed",3.1,41,"Bachelor/Master's and above","Married","White",1,"male","Winter","Utah",1
3,"Employed",3.3,53,"High School Degree","Married","Black",0,"male","Winter","Virginia",0
3,"Not in the labor force",3.9,56,"High School Degree","Married","Black",0,"female","Winter","South Carolina",0
3,"Employed",3.9,33,"Less than High School","Married","Hispanic",1,"male","Winter","Oklahoma",0
3,"Employed",4.2,60,"Bachelor/Master's and above","Married","White",0,"female","Winter","Georgia",0
4,"Employed",4.8,50,"Less than High School","Married","Hispanic",1,"male","Winter","Arizona",1
2,"Employed",4.5,39,"Bachelor/Master's and above","Not Married","White",1,"female","Winter","Ohio",0
3,"Employed",3.9,60,"High School Degree","Married","White",0,"female","Winter","Oklahoma",0
4,"Employed",4.6,32,"Bachelor/Master's and above","Married","White",1,"male","Winter","Washington",1
2,"Employed",2.9,52,"High School Degree","Married","White",1,"female","Winter","Nebraska",0
1,"Employed",4.5,42,"High School Degree","Not Married","Hispanic",1,"male","Winter","New York",1
4,"Employed",2.3,42,"Bachelor/Master's and above","Married","Asian",1,"male","Winter","Hawaii",1
2,"Employed",2.9,37,"Less than High School","Married","White",1,"male","Winter","Nebraska",0
3,"Employed",3.9,49,"Bachelor/Master's and above","Married","White",1,"female","Winter","Alabama",0
4,"Employed",4.4,36,"Bachelor/Master's and above","Not Married","White",1,"female","Winter","California",0
4,"Unemployed",4.4,47,"Bachelor/Master's and above","Married","Asian",1,"female","Winter","California",1
3,"Employed",4.3,53,"High School Degree","Not Married","Black",1,"female","Winter","Kentucky",0
1,"Employed",3.6,44,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Massachusetts",0
3,"Employed",4.2,43,"Bachelor/Master's and above","Not Married","Hispanic",1,"male","Winter","Georgia",0
4,"Employed",4.4,49,"High School Degree","Married","Hispanic",1,"female","Winter","California",1
1,"Employed",4.6,59,"High School Degree","Married","White",0,"male","Winter","Pennsylvania",1
3,"Employed",3.9,46,"High School Degree","Not Married","Black",0,"female","Winter","South Carolina",1
3,"Employed",3.9,53,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Winter","Alabama",0
3,"Not in the labor force",3.3,50,"High School Degree","Married","Asian",1,"male","Winter","Virginia",0
4,"Employed",4.4,39,"High School Degree","Married","Hispanic",1,"male","Winter","California",1
1,"Unemployed",4.5,28,"High School Degree","Not Married","White",1,"female","Winter","New York",0
3,"Employed",4.2,54,"Bachelor/Master's and above","Married","Asian",0,"female","Winter","North Carolina",1
3,"Not in the labor force",3.9,54,"High School Degree","Not Married","White",0,"female","Winter","South Carolina",0
3,"Employed",3.9,31,"Less than High School","Not Married","Hispanic",1,"male","Winter","Florida",0
2,"Not in the labor force",3.4,31,"High School Degree","Not Married","White",1,"male","Winter","Kansas",0
1,"Employed",4.5,60,"High School Degree","Married","Black",0,"female","Winter","New York",0
1,"Employed",4.5,40,"Bachelor/Master's and above","Married","White",1,"female","Winter","New Jersey",0
1,"Not in the labor force",4.6,56,"High School Degree","Not Married","White",0,"male","Winter","Pennsylvania",0
3,"Employed",3.9,33,"Bachelor/Master's and above","Not Married","Black",1,"female","Winter","Florida",0
2,"Employed",3,38,"High School Degree","Married","White",1,"male","Winter","Wisconsin",1
3,"Employed",4.1,46,"Less than High School","Married","Black",1,"male","Winter","Delaware",0
1,"Employed",4.5,32,"Less than High School","Not Married","Hispanic",1,"female","Winter","New York",0
3,"Not in the labor force",3.6,40,"Bachelor/Master's and above","Married","White",1,"female","Winter","Tennessee",1
4,"Employed",4.4,40,"High School Degree","Not Married","Asian",0,"male","Winter","California",1
2,"Employed",4.5,41,"Bachelor/Master's and above","Married","White",1,"male","Winter","Michigan",0
1,"Employed",4.5,42,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","New York",0
3,"Employed",4,46,"High School Degree","Married","Hispanic",0,"female","Winter","Texas",0
3,"Employed",3.9,50,"Less than High School","Not Married","Black",0,"male","Winter","Florida",1
2,"Employed",4.5,47,"Bachelor/Master's and above","Married","White",1,"male","Winter","Illinois",0
2,"Employed",4.5,52,"High School Degree","Not Married","White",0,"male","Winter","Illinois",0
3,"Employed",3.3,44,"Bachelor/Master's and above","Married","White",1,"female","Winter","Virginia",1
4,"Employed",3,60,"High School Degree","Not Married","White",0,"male","Winter","Colorado",1
3,"Employed",4.7,33,"Less than High School","Not Married","Hispanic",1,"female","Winter","Louisiana",0
1,"Not in the labor force",4.5,35,"Less than High School","Married","Hispanic",1,"female","Winter","New Jersey",0
3,"Employed",4.3,38,"High School Degree","Not Married","White",1,"male","Winter","Kentucky",0
4,"Not in the labor force",3.8,28,"High School Degree","Married","White",1,"female","Winter","Montana",0
3,"Employed",4.2,41,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter","North Carolina",0
1,"Employed",4.5,47,"High School Degree","Not Married","Hispanic",0,"male","Winter","Connecticut",0
4,"Employed",4.6,50,"Bachelor/Master's and above","Married","White",1,"male","Winter","Washington",0
3,"Employed",4.3,28,"High School Degree","Not Married","Black",1,"female","Winter","Kentucky",1
2,"Employed",3.3,33,"High School Degree","Not Married","White",0,"female","Winter","Indiana",1
3,"Employed",3.9,54,"High School Degree","Not Married","Black",1,"female","Winter","Florida",0
4,"Employed",4.8,55,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Arizona",1
2,"Employed",4.5,47,"Bachelor/Master's and above","Married","White",1,"male","Winter","Illinois",1
1,"Employed",4.5,35,"Bachelor/Master's and above","Not Married","White",0,"male","Winter","New Jersey",0
3,"Employed",4.2,56,"Bachelor/Master's and above","Married","White",1,"male","Winter","Maryland",1
3,"Employed",4.2,45,"Bachelor/Master's and above","Married","Black",1,"female","Winter","Georgia",1
3,"Not in the labor force",4.2,41,"High School Degree","Not Married","Black",1,"female","Winter","Georgia",0
3,"Employed",3.9,49,"High School Degree","Married","White",1,"female","Winter","Florida",1
3,"Employed",4.3,50,"Bachelor/Master's and above","Not Married","White",0,"male","Winter","Kentucky",0
3,"Not in the labor force",3.9,33,"High School Degree","Married","White",1,"female","Winter","Florida",0
3,"Employed",4.7,57,"Bachelor/Master's and above","Not Married","Asian",0,"male","Winter","Louisiana",1
2,"Employed",4.5,29,"Less than High School","Married","White",1,"female","Winter","Michigan",1
3,"Employed",4.3,29,"Bachelor/Master's and above","Married","White",1,"female","Winter","Kentucky",1
4,"Employed",4.4,29,"Bachelor/Master's and above","Not Married","White",0,"male","Winter","California",0
3,"Employed",3.9,52,"Less than High School","Married","Hispanic",0,"male","Winter","Oklahoma",0
1,"Employed",3.6,42,"Bachelor/Master's and above","Not Married","White",0,"female","Winter","Massachusetts",0
3,"Employed",3.6,57,"High School Degree","Married","Hispanic",0,"male","Winter","Tennessee",0
1,"Employed",4.5,44,"High School Degree","Not Married","Hispanic",0,"female","Winter","New York",1
3,"Employed",4.9,32,"Bachelor/Master's and above","Married","White",1,"male","Winter","Mississippi",0
3,"Employed",4,36,"Bachelor/Master's and above","Married","Hispanic",1,"female","Winter","Texas",1
4,"Employed",4.4,46,"High School Degree","Married","Hispanic",0,"male","Winter","California",0
2,"Employed",3.4,25,"High School Degree","Married","White",1,"male","Winter","Kansas",1
2,"Employed",4.5,27,"Bachelor/Master's and above","Married","White",0,"female","Winter","Ohio",1
4,"Employed",3,42,"Bachelor/Master's and above","Married","White",0,"male","Winter","Colorado",0
4,"Employed",4.4,45,"Bachelor/Master's and above","Married","White",1,"female","Winter","California",0
3,"Employed",4,40,"Bachelor/Master's and above","Married","White",1,"female","Winter","Texas",0
2,"Employed",4.5,49,"Bachelor/Master's and above","Married","White",1,"male","Winter","Michigan",1
